Cidade de Origem,Estado de Origem,Quantidade
Mogi Guaçu,SP,1
Mirasselvas,PA,1
Miranda,MS,1
Imbituva,PR,1
Imbituba,SC,1
Ilheus,BA,1
"Ijuí, RS",RS,1
Morro Agudo,SP,1
Moreno,PE,1
Moreilândia PE,PE,1
Igaraçu do Tietê,SP,1
Igarapé-Miri,PA,1
Iepê,SP,1
Ielmo Marinho,RN,1
Ida Iolanda,SP,1
Icoaraci,PA,1
Ibiúna,SP,1
Ibiá,MG,1
Ibitiúva,SP,1
Ibitiara,BA,1
Ibirá,SP,1
Ibirubá,RS,1
Ibiruba,RS,1
ITAÚNA,MG,1
ITATIBA -SP,SP,1
ITAPORANGA,PB,1
Nioaque,MS,1
Nhandeara,SP,1
Nazaré da Mata,PE,1
Naviraí,MS,1
Natércia,MG,1
Natal Rio Grande do Norte,RJ,1
NOVO HAMBURGO,RS,1
NOVA PRATA,RS,1
NOVA FLORESTA,PB,1
Muriae,MG,1
Muqui,ES,1
Mossoro,RN,1
Morungaba,SP,1
Nova Aliança do Ivaí,PR,1
Nossa Senhora Das Dores,SE,1
Nitéroi,RJ,1
Niterói-RJ,RJ,1
Niterói RJ,RJ,1
Ibiraçu,ES,1
Ibirarema,SP,1
Ibirapitanga,BA,1
Ibirama,SC,1
Ibiraci,MG,1
Ibipora,PR,1
Ibiaçá,RS,1
Ibatiba,ES,1
IVORÁ,RS,1
ITUMIRIM,MG,1
ITU,SP,1
ITAMOJI,MG,1
ITAJUBA,MG,1
ITAJAÍ,SC,1
ITABIRITO,MG,1
ITABAIANA,PB,1
IPAUSSU,SP,1
INAJÁ,PE,1
ILICÍNEA,MG,1
ILHÉUS,BA,1
ILHA SOLTEIRA,SP,1
IBITIRAMA,ES,1
IBIRAJUBA,PE,1
IBICUITINGA,CE,1
Nova Esperança do Sul,RS,1
Nova Cruz,RN,1
Nova Aurora,PR,1
Heitoraí,GO,1
Guiricema,MG,1
Guiratinga,MT,1
Guidoval,MG,1
Guaíba,RS,1
Guará,MG,1
OLÍMPIA,SP,1
Novo Aripuanã,AM,1
Nova Xavantina,MT,1
Nova Resende,MG,1
Nova Palmeira,PB,1
Nova Londrina,PR,1
Nova Granada,SP,1
Nova Floresta,PB,1
Nova Fatima,PR,1
ITAPEMA,SC,1
PARACATU,MG,1
PALOTINA,PR,1
Ouro Verde,SC,1
Ouro,SC,1
Ourizona,PR,1
Guaraí,TO,1
Guaraniaçú,PR,1
Guapé,MG,1
Ourinhos,PR,1
Ouricuri,PE,1
Osório,RS,1
Onda Verde,SP,1
Olho D'Água do Casado,AL,1
OURINHOS,SP,1
OSVALDO CRUZ,SP,1
OLÍMPIA SP,SP,1
PIRAÇUNUNGA,SP,1
PIRASSUNUNGA,SP,1
PIO IX,PI,1
PICUÍ,PB,1
PICOS,PI,1
PETRÓPOLIS,RJ,1
PETROLINA,PE,1
PENDÊNCIAS,RN,1
PAULISTA,PE,1
PAULA CÂNDIDO,MG,1
PATROCINIO,MG,1
PATOS DE MINAS,MG,1
PATOS,PB,1
PASTOS BONS,MA,1
PARANAÍBA,MS,1
PARANAVAÍ,PR,1
POTIRENDABA,SP,1
PORTO FIRME,MG,1
Guaporé-RS,RS,1
Guapiaçu,SP,1
Guanambí,BA,1
Guanambi,BA,1
Guaira,SP,1
Gravatá,PE,1
Gravatal,SC,1
Grajaú,MA,1
Governador Mangabeira Bahia,BA,1
Gouveia,MG,1
PORECATU,PR,1
PONTAL,SP,1
PONTA-GROSSA,PR,1
PONTA GROSSA,PR,1
Palmeira D´Oeste,SP,1
Palmeira Dos Indios,AL,1
Goioerê,PR,1
Goio-erê,PR,1
Goianésia,GO,1
Goianinha,RN,1
Glória de Dourados,MS,1
Gloria de Dourados,MS,1
Glicério,SP,1
Girau do Ponciano,AL,1
Palmeira D'Oeste,SP,1
Palmeira,PR,1
Palmares,PE,1
Paiçandu,PR,1
Pacatuba,SE,1
PRESIDENTE BERNARDES,MG,1
Gandu,BA,1
Gabriel Monteiro,SP,1
GUAÇUI,ES,1
GUARACIABA,SC,1
GUAIRA,SP,1
GOVERNADOR VALADARES,MG,1
GOIÂNIA,GO,1
GOIANIA,MG,1
GOIANA,PE,1
GASPAR,SC,1
GARANHUNS,PE,1
Paragominas,PA,1
Paracatu,DF,1
Papanduva,SC,1
Palmital,PR,1
Palmeira dos Indios,AL,1
FÁTIMA DO SUL,MS,1
Fundão,ES,1
Frei Paulo,SE,1
Francisco Sá,MG,1
Francisco Beltrao,PR,1
Fortuna de Minas,MG,1
Formosa do Oeste,PR,1
Paraúna,GO,1
Paraíso do Sul,RS,1
Paraíba do Sul,RJ,1
Paranapuã,SP,1
Paramirim,BA,1
Paraiso,SP,1
Paraguaçú Paulista,SP,1
Paraguaçu Pta,SP,1
"Garibaldi, RS",RS,1
Peabirú,PR,1
Peabiru,PR,1
Paverama,RS,1
Paudalho,PE,1
Pau dos Ferros,RN,1
Patrocínio do Muriaé,MG,1
Patrocínio Paulista,SP,1
Patrocinio Paulista,SP,1
Passo do Sobrado,RS,1
Passa Tempo,MG,1
Parnamirim,RN,1
Parnaiba,PI,1
Pariquera Açú,SP,1
Pariquera Açu,SP,1
Parelhas,RN,1
Fátima do Sul,MS,1
FLORIANOPÓLIS,SC,1
FERNANDOPOLIS,SP,1
FARROUPILHA,RS,1
Exu,PE,1
Extrema,MG,1
Flórida,PR,1
Florestópolis,PR,1
Florai,PR,1
Ferreiros,PE,1
Feliz,RS,1
Felixlândia,MG,1
Felipe Schmidt,SC,1
Felipe Guerra,RN,1
Pedra Branca,CE,1
Pedra Azul,MG,1
Pederneiras,SP,1
Piedade do Rio Grande,MG,1
Picuí,PB,1
Peçanha,MG,1
Petropolis,RJ,1
Petrolandia,PE,1
Perobal,PR,1
Perdões,MG,1
Perdizes,MG,1
Pentecoste,CE,1
Pedro Velho,RN,1
Pedro Osório RS,RS,1
Pedrinópolis,MG,1
Pedra do Anta,MG,1
Feijó,AC,1
Farias Brito,CE,1
Faria Lemos,MG,1
Pinhão,PR,1
Pinheiros,ES,1
Pindorama,SP,1
Pindaí,BA,1
Estrêla d'Oeste,SP,1
Estrela do Sul,MG,1
Estrela D'alva,MG,1
Estrela D'Oeste,SP,1
Estiva,MG,1
Espírito Santo do Dourado,MG,1
Esmeraldas,MG,1
Ervália,MG,1
Erval Seco,RS,1
Pimenta Bueno,RO,1
Piloezinhos,PB,1
Pilar do Sul,SP,1
Pirapora,MG,1
Enéas Marques,PR,1
Engenheiro Paulo de Frontin,RJ,1
Encruzilhada,BA,1
Embu - Guaçu,SP,1
Embu,SP,1
Eloi Mendes,MG,1
Eldorado,MS,1
Ecoporanga,ES,1
Echaporã,SP,1
ESPUMOSO,RS,1
ESPERANÇA,PB,1
Piranga,MG,1
Pirai do Sul,PR,1
Piracuruca,PI,1
Piquerobi,SP,1
Planalto,PR,1
Piúma,ES,1
Doutor Camargo,PR,1
Dourados,MT,1
Dourado,SP,1
Dores do Turvo,MG,1
Dores de Guanhaes,MG,1
Dona Francisca,RS,1
Dois Vizinhos,PR,1
Piumhí,MG,1
Pitangui,MG,1
Pitanga,PR,1
Piritiba,BA,1
Piripiri,PI,1
Piraúba,MG,1
Piraquara,PR,1
Porto Franco,MA,1
Porto Alege,RS,1
Porto Aelgre,RS,1
Porto ALegre,RS,1
Porto ALEGRE,RS,1
Porto,PI,1
Porangatú,GO,1
Ponte do Itabapoana,ES,1
Pontalina,GO,1
Pontal,SP,1
Ponta-Grossa,PR,1
Ponta de Pedras,PA,1
Ponta Grosssa,PR,1
Pompéu,MG,1
Pombal,PB,1
Pocrane,MG,1
Poá,SP,1
Poxoréo,MT,1
Poxoreu,MT,1
Pouso Redondo,SC,1
Porto Real do Colégio,AL,1
Diogo de Vasconcelos,MG,1
Delfim Moreira,MG,1
Davinópolis,GO,1
David Canabarro,RS,1
DOURADOQUARA,MG,1
DOIS CORREGOS,SP,1
D. de Caxias,RJ,1
Córrego do Bom Jesus,MG,1
Cícero-Dantas,BA,1
Cícero Dantas,BA,1
Porto Murtinho,MS,1
Presedente Prudente,SP,1
Prata Minas Gerais,SP,1
Cândido Mota,SP,1
Custódia,PE,1
Curvelo,MG,1
Cururupu,MA,1
Curitibajavascript:void(0),PR,1
Cunha Porã,SC,1
Cunha,SP,1
Cuiabá-MT,MT,1
Prata  - MG,MG,1
Prados,MG,1
Prado,BA,1
Poços de caldas,MG,1
Poço de Pedras,RN,1
Poço Fundo,MG,1
QUIXERAMOBIM,CE,1
Cubatí,PB,1
Cruzíla,MG,1
Cruzeiro do Sul,RS,1
Cruzeiro DOeste,PR,1
Cristália,MG,1
Cristina,MG,1
Cristiano Otoni,MG,1
Crissiumal,RS,1
QUARAI,RS,1
Putinga,RS,1
Propriá,SE,1
Progresso,RS,1
Presidente Olegário,MG,1
Presidente Epitácio,SP,1
Presidente Castelo Branco,PR,1
RIo de Janeiro,RJ,1
RIO POMBA,MG,1
RIO PARDO,RS,1
RIO NEGRO,PR,1
RIO DOS CEDROS,SC,1
RIO DO SUL,SC,1
RIBEIRÃO,PE,1
RIBEIRAO VERMELHO,MG,1
RESPLENDOR,MG,1
Quixada,CE,1
Queiróz,SP,1
Queimados,RJ,1
Queimadas,BA,1
Quedas do Iguaçu - PR,PR,1
Quedas do Iguaçu,PR,1
Quatá,SP,1
Recife,SP,1
Recife,RJ,1
Realeza,PR,1
Raul Soares,MG,1
Rancho Alegre,PR,1
Criciúma,RS,1
Crateus,CE,1
Cotiporã,RS,1
Cotia,SP,1
Cosmorama,SP,1
Corumbataí,SP,1
Correntes,PE,1
Coronel Vivida,PR,1
Coronel Sapucaia,MS,1
ROLANDIA,PR,1
RODEIRO,MG,1
Ribeirão Preto SP,SP,1
Ribeiropolis,SE,1
Ribeira,SP,1
Riachão do Jacuípe,BA,1
Retirolândia,BA,1
Coronel Bicaco,RS,1
Cordisburgo - Lagoa Bonita,MG,1
Cordisburgo,MG,1
Cordeirópolis,SP,1
Cordeiro,RJ,1
Coração de Jesus,MG,1
Congonhinhas,PR,1
Reserva,PR,1
Remígio,PB,1
Registro-SP,SP,1
Recreio MG,MG,1
Rio Bonito,RJ,1
Rio Azul,PR,1
Congonhas,MG,1
Concórdia SC,SC,1
Conchas,SP,1
Conchal,SP,1
Conceição do Canindé,PI,1
Conceição,PB,1
Conceicao do Castelo,ES,1
Coimbra,MG,1
Codó,MA,1
Cocal do Sul,SC,1
Ribeirópolis,SE,1
Ribeirão preto,SP,1
Ribeirão Prêto,SP,1
Ribeirão Preto/SP,SP,1
Rio Verde de Mato Grosso,MS,1
Rio Preto,MG,1
Claudio,MG,1
Claraval,MG,1
Cidade Gaúcha,PR,1
Chopinzinho,PR,1
Chiapetta,RS,1
Chavantes,SP,1
Chapeco,SC,1
Cerqueira César,SP,1
Ceres,GO,1
Rio Paranaíba,MG,1
Rio Negrinho,SC,1
Rio Doce,MG,1
Rio De Janeiro,RJ,1
Rio Branco do Sul,PR,1
Rio dos Cedros,SC,1
Rio do Sul SC,SC,1
Rio deJaneiro,RJ,1
Cedral,SP,1
Ceará Mirim,RN,1
Ceará,CE,1
Caxias Do Sul,RS,1
Cavalcante,GO,1
Caucaia,CE,1
Catende,PE,1
Rio de Janeiro,SC,1
Rio de Janeio,RJ,1
Rio de Janediro,RJ,1
Rio de Janairo,RJ,1
Rio de JAneiro,RJ,1
Rio de Contas,BA,1
S do Ipanema,AL,1
Russas,CE,1
Rosario Oeste,MT,1
Roraima,RR,1
Catarina,CE,1
Catanduvas,PR,1
Cassilândia,MS,1
Cascavel,CE,1
Rondon,PR,1
Rolândia,SP,1
Rolim de Moura,RO,1
Rodelas,BA,1
Rodeio Bonito,RS,1
Roberto,SP,1
Riolândia,SP,1
Rio verde de Mato Grosso,MS,1
SANTARÉM,PA,1
SANTANÉSIA,RJ,1
SANTANA DO LIVRAMENTO,RS,1
SANTA TERESA,ES,1
Carolina,MA,1
Carmésia,MG,1
Carmo do Cajuru,MG,1
Carius,CE,1
Caririaçu,CE,1
Cardoso,SP,1
SANTA ROSA DE VITERBO,SP,1
SANTA ROSA,RS,1
SANTA MARIA DA SERRA,SP,1
SALTO,SP,1
S.Paulo,SP,1
S. Fidelis,RJ,1
SAPÉ,PB,1
Carandaí,MG,1
Carandai,MG,1
Caraguatatuba,SP,1
Capão Bonito,SP,1
Capitolio,MG,1
Capela Nova,MG,1
Caparaó,MG,1
Canto do Buriri,PI,1
SAPIRANGA,RS,1
SAO MANUEL,SP,1
SAO JOSE RIO PRETO,SP,1
SAO JOSE DO RIO PRETO,SP,1
SANTO ANTONIO DO PALMA,RS,1
SANTO ANTONIO DE JESUS,BA,1
SANTO ANDRÉ,SP,1
Canitar,SP,1
Candido de Abreu,PR,1
Candido Sales,BA,1
Candiba,BA,1
Candelária,RS,1
Campos do Jordao,SP,1
Salesópolis,SP,1
Sabaudia,PR,1
Sabara,MG,1
SURUBIM,PE,1
SP,SP,1
SETE BARRAS,SP,1
SERROLÂNDIA,BA,1
SERRA TALHADA,PE,1
SERRA AZUL,SP,1
SAÚDE,BA,1
Campos Borges,RS,1
Campo Grande,RN,1
Campo Formoso,BA,1
Campo Erê,SC,1
Campo Ere,SC,1
Campo Alegre de Lourdes,BA,1
Campinorte,GO,1
Santa Adélia - SP,SP,1
Sant'Ana do Livramento,RS,1
Salvador do Sul,RS,1
Salvador,RJ,1
Salvador,MG,1
Salvador,CE,1
Salvado,BA,1
Salto Grande,MG,1
Salinas da Margarida,BA,1
Santa Maria,SP,1
Santa Margarida,MG,1
Santa Lucia,SP,1
Santa Juliana,MG,1
Santa Izabel do Para,PA,1
Santa Inês,MA,1
Santa Helena,MA,1
Santa Cruz de Monte Castelo,PR,1
Santa Cruz das Palmeiras,SP,1
Santa Bárbara D´Oeste,SP,1
Santa Bárbara D'Oestes,SP,1
Santa Bárbara D'Oeste,SP,1
Santa Bárbara,BA,1
Santa Branca,SP,1
Santa Antônio das Missões,RS,1
Campos Novos,SC,1
Santa Salete,SP,1
"Campinas, SP",SP,1
Campinas SP,SP,1
Campinas - São Paulo,SP,1
Campinas - Barão Geraldo,SP,1
Campinas,RJ,1
Campina da Lagoa,PR,1
"Campina Grande, Paraíba, Brasi",PB,1
Campestre,MG,1
Camocim,CE,1
Cambuí,MG,1
Camboriú,SC,1
Santa Quitéria,MA,1
Santa Maria do Suaçuí,MG,1
Santa Maria do Itabira,MG,1
Santa Maria da Vitoria,BA,1
Santo Antonio da Platina,PR,1
Camaqua,RS,1
Caldeirões - Porções,BA,1
Cajuri,MG,1
Cajari,MA,1
Caiçara,RS,1
Caiapônia,GO,1
Cahoeiro de Itapemirim,ES,1
Cafelandia,SP,1
Santo Amaro - Bahia,BA,1
Santo  André,SP,1
Santarem,PA,1
Santana dos Garrotes,PB,1
Santana do Matos,RN,1
Santana do Itararé,PR,1
Santa fé do Sul,SP,1
Sao Goncalo dos Campos,BA,1
Sao Gabriel,RS,1
Sao Carlos - SP,SP,1
Sao Caetano do Sul,SP,1
Sao  Paulo,SP,1
SantÀna do Livramento,RS,1
Sant´Ana do Livramento,RS,1
Santo Inácio,PR,1
Santo Antônio do Leverger,MT,1
Santo Antônio do Jardim,SP,1
Santo Antônio das Missões,RS,1
Santo Antônio da Platina,PR,1
Santo Antônio da Platina,ES,1
Santo Antônio da Patrulha,RS,1
Santo Antonio do Sudoeste,PR,1
Santo Antonio de Jesus,BA,1
Sao José dos Campos,SP,1
Sao Jose do Rio Preto,SP,1
Sao Joaquim da Barra,SP,1
Sao Joao do Manhuacu,MG,1
Sao Joao Del Rei,MG,1
Caeté,MG,1
Caetité,BA,1
Caetete,BA,1
Caete,MG,1
Caculé,BA,1
Cacoal,RO,1
Cacique Doble,RS,1
Cachoeiro do Itapemerim,ES,1
Cachoeira do Campo,MG,1
Cachoeira,BA,1
Sao Gonçalo do Pará,MG,1
Serafina Corrêa,RS,1
Senhor do Bonfim,BA,1
Senador Pompeu Ceará,CE,1
Seara,SC,1
Savador,BA,1
Saudades,SC,1
Sapucaí Mirim,MG,1
Sao luis,MA,1
Sao Vicente,SP,1
Sao Tomaz de Aquino,MG,1
Sao Sebastião do Paraiso,MG,1
Sao Pedro,SP,1
Sao Manuel,SP,1
Sao Luis Gonzaga,RS,1
Sao Lourenco do Sul,RS,1
Sao Lourenco,MG,1
Serra Negra do Norte,RN,1
Serra Azul,SP,1
Seropédica,RJ,1
Cacequi,RS,1
Cabrobó,PE,1
Cabo Verde,MG,1
Cabo Frio,RJ,1
Cabedelo,PB,1
Cabaceiras,PB,1
CUIABA,MT,1
CRICIUMA,SC,1
CORUMBÁ,MS,1
CORUMBA,MS,1
COROMANDEL,MG,1
CORNELIO PROCOPIO,PR,1
CORDISLÂNDIA,MG,1
CARUARU,PE,1
Soure,PA,1
Sossego,PB,1
Sombrio,SC,1
Sobradinho,DF,1
Siqueira Campos,PR,1
Sinop,MT,1
Simplicio Mendes,PI,1
Simonésia,MG,1
Silveirânia,MG,1
Silveiras,SP,1
Silveira Martins,RS,1
Siderópolis,SC,1
Sertânia,PE,1
Serrita,PE,1
Serra Talhada,PE,1
Sta Rita P.Quatro,SP,1
Sr do Bomfim,BA,1
Souza,PB,1
CONCEIÇÃO,PB,1
CONCEIÇAO DO JACUIPE,BA,1
CIRIACO,RS,1
CHAPECÓ,SC,1
CENTRAL,BA,1
CENTENARIO DO SUL,RJ,1
CAXIAS,MA,1
CAXAMBU DO SUL,SC,1
CATUÍPE,RS,1
CATANDUVA,SP,1
CATALÃO,GO,1
CASCAVEL,PR,1
CASCAVEL,CE,1
São Bento,MA,1
Sâo José do Rio Preto,SP,1
Sáo Paulo,SP,1
Sáo Carlos,SP,1
Sào Paulo,SP,1
SÄO PAULO,SP,1
SÃO VICENTE,SP,1
SÃO SEBASTIÃO DO CAÍ,RS,1
SÃO MANOEL,SP,1
SÃO LEOPOLDO,RS,1
SÃO JOÃO DO CARIRI,PB,1
SÃO JOÃO DEL REI,MG,1
SÃO JOÃO DE MERITI,RJ,1
SÃO JOÃO DA PONTE,MG,1
SÃO GONÇALO DO SAPUCAÍ,MG,1
Sud Mennucci SP,SP,1
São Domingos,SC,1
São Carlos,SC,1
CARLOS CHAGAS,MG,1
CARINHANHA,BA,1
CARATINGA,MG,1
CAPITAO LEONIDAS MARQUES,PR,1
CANGUÇU,RS,1
CAMPOS,RJ,1
CAMPO BELO,MG,1
CAMETÁ,PA,1
CAMACÃ,BA,1
CAJURU,SP,1
CACHOEIRO DE ITAPEMIRIM,ES,1
CABACEIRAS,PB,1
Bélem,PA,1
São Bernardo,SP,1
São Jorge do Ívai,PR,1
São Jerônimo,RS,1
São Gonçalo dos Campos,BA,1
São Gonçalo do Sapucaí,MG,1
São Gonçalo do Pará,MG,1
São Gonçalo do Abaeté,MG,1
São Gabriel,BA,1
São Gabriel,AL,1
São Félix do Xingú,PA,1
São Francisco do Piauí,PI,1
São Francisco do Conde,BA,1
São Francisco de Assis,RS,1
São Francisco,MG,1
São Fidélis,RJ,1
São Domingos do Sul,RS,1
São Domingos do Norte,ES,1
São João Batista do Glória,MG,1
São José do Goiabal,MG,1
São José do Egito,PE,1
São José do Cerrito,SC,1
São José do Calçado,ES,1
Buriti Bravo,MA,1
Buriti,MA,1
Bueno Brandão,MG,1
Brumado,BA,1
Brumadinho,MG,1
Brodosqui,SP,1
Brejões,BA,1
Brejo da Madre de Deus,PE,1
São José de Mipibú,RN,1
São José das Palmeiras,PR,1
São José,SC,1
São João del-Rei,RJ,1
São João del Rey,MG,1
São João de Merití,RJ,1
São João da Mata,MG,1
Brazil,DF,1
Brasília de Minas,MG,1
Brasiléia,AC,1
Brasilândia,MG,1
Braga,RS,1
Botelhos,MG,1
Bossoroca,RS,1
Borda da Mata,MG,1
Borborema,SP,1
Boqueirão do Leão,RS,1
São João Nepomuceno,MG,1
São João Del-Rei,MG,1
Bequimão,MA,1
Beo Horizonte,MG,1
Benedito Novo,SC,1
Belém Pará,PA,1
Bom Sucesso,MG,1
Bom Retiro do Sul,RS,1
Bom Jesus do Galho,MG,1
Bom Jesus,PI,1
Bom Conselho,PE,1
Bocaina,PI,1
Boa Vista do Buricá,RS,1
São Lourenço D'Oeste,SC,1
São Lourenço,RS,1
São Leopoldo - RS,MG,1
São João dos Patos,MA,1
São João do Cariri,PB,1
São Paulo,DF,1
São Miguel dos Campos,AL,1
São Miguel do Iguaçú,PR,1
São Miguel do Iguaçu,PR,1
São Miguel do Guamá,PA,1
São Miguel do Araguaia,GO,1
São Miguel,RN,1
São Mateus do Sul,PR,1
São Manoel,SP,1
São Luiz dos Montes Belos,GO,1
São Luiz do Quitunde,AL,1
São Luis de Montes Belos,GO,1
São Luis Gonzaga,RS,1
Boa Nova,BA,1
Birirgui,SP,1
Birigüi,SP,1
São Raimundo Nonato,PI,1
São Pulo,SP,1
Belo-Horizonte,MG,1
Belo horizonte,MG,1
Belo Vale,MG,1
Belo Jardim,PE,1
Belo Horizonte-MG,MG,1
Belo Horizomte,MG,1
Belo Hoorizonte,MG,1
Belford Roxo,RJ,1
Bela Vista de Goiás,GO,1
Baturite,CE,1
São Pedro do Piauí,PI,1
São Pedro - Dourados,MS,1
São Pedro,SP,1
São Paulo,MT,1
TRES ARROIOS,RS,1
TOLEDO,PR,1
TIMBAÚBA,PE,1
TENENTE PORTELA,RS,1
TELÊMACO BORBA,PR,1
TATUÍ,SP,1
TAMBAÚ,SP,1
Sítio do Mato,BA,1
São paulo,SP,1
São carlos,SP,1
São Vicente Ferrer,PE,1
São Tomé,PR,1
São Tomás de Aquino,MG,1
São Sebastião do Umbuzeiro,PB,1
São Sebastião do Cai,RS,1
São Sebastião da Amoreira,PR,1
Tacima,PB,1
Tabuleiro do Norte,CE,1
Taboão da Serra,SP,1
Tabatinga,SP,1
Batayporã,MS,1
Barão de Juparanã,RJ,1
Barão de Cocais,MG,1
Barros Cassal,RS,1
Barras,PI,1
Barracão,RS,1
Barracão,PR,1
Barra mansa,RJ,1
Barra do Rocha,BA,1
Barra do Ribeiro,RS,1
TRÊS LAGOAS,MS,1
TRÊS DE MAIO,RS,1
Tapirai,SP,1
Tapira,PR,1
Tanhaçu,BA,1
Barra do Garças,MT,1
Barra do Choça,BA,1
Barra de São Francisco,ES,1
Barbosa Ferraz,PR,1
Balsamo,SP,1
Balneário de Camboriú,SC,1
Balneário Camboriu,SC,1
Baixo Guandu,ES,1
Tambau,SP,1
Taiuva,SP,1
Taipú,RN,1
Taiobeiras,MG,1
Taiaçu,SP,1
Teixieras,MG,1
Teixeiras,MG,1
Bahia,BA,1
Bagé/RS,RS,1
Baependi,MG,1
Bady Bassitt,SP,1
BRUSQUE,SC,1
BRASÍLIA,DF,1
BOTUCATU,SP,1
BOM JARDIM,PE,1
BH,MG,1
BEZERROS,PE,1
BERNARDINO DE CAMPOS,SP,1
Taubate,SP,1
Taquarituba,SP,1
Taquaral,SP,1
Terra Roxa do Oeste,PR,1
BELMONTE,BA,1
BARRETOS,SP,1
BARBACENA,MG,1
BANANEIRAS,PB,1
BAGE,RS,1
Avare,SP,1
Aurora,CE,1
Aurilândia,GO,1
Augusto Pestana,RS,1
Terra Roxa,SP,1
Teresia,PI,1
Teofilândia,BA,1
Teofilo Otoni,MG,1
Teodoro Sampaio,SP,1
Telemaco Borba,PR,1
Assaré,CE,1
Arroio do Tigre,RS,1
Arroio do Meio,RS,1
Arroio Trinta,SC,1
Aroeiras,PB,1
Armazém,SC,1
Ariranha,SP,1
Areias,SP,1
Tomasina,PR,1
Tiros,MG,1
Timoteo,MG,1
Timbé do sul,SC,1
Tijucas,SC,1
Teófilo Otoni - MG,MG,1
Texeira,PB,1
Teutônia,RS,1
Araçatuba SP,DF,1
Araucária,PR,1
Araruna,PR,1
Araruama,RJ,1
Araripe,CE,1
"Araraquara, S.P.",SP,1
Três Marias,MG,1
Trombudo Central,SC,1
Treze Tílias,SC,1
Tres de Maio,RS,1
Tres Lagoas,MS,1
Tremembe,SP,1
Trairí,CE,1
ToméAçu,PA,1
Tombos,MG,1
Ataléia,MG,1
URAÍ,PR,1
UNIFLOR,PR,1
Araponga,MG,1
Araguatins,TO,1
Aracitaba,MG,1
Aracatuba,SP,1
Arabutã,SC,1
Apodi,RN,1
Anápolis,SP,1
UBERLANDIA,MG,1
Turmalina MG,MG,1
Tupaciguara,MG,1
Tumiritinga,MG,1
Três Pontas,MG,1
Arceburgo,MG,1
Araújos,MG,1
Antonio Carlos,SC,1
Antenor Navarro,PB,1
Anitapólis,SC,1
Angelina,SC,1
Angatuba,SP,1
Andrelândia,MG,1
Andira,PR,1
Umburatiba,MG,1
Uibaí,BA,1
Uchoa,SP,1
Ubiratã,PR,1
Uberaba,SP,1
Ubatuba,SP,1
Ubaira Bahia,BA,1
Uba,MG,1
URUÇUI,PI,1
Varzea da Palma,MG,1
Vargem Alta,ES,1
VOTUPORANGA,SP,1
VISCONDE DO RIO BRANCO,MG,1
VILA VELHA,ES,1
VIADUTOS,RS,1
VERANÓPOLIS,RS,1
VERA CRUZ,SP,1
Urânia,SP,1
Urubici,SC,1
União da Vitôria,PR,1
União Paulista,SP,1
Unai,MG,1
Una,BA,1
Antônio carlos,MG,1
Antonio Prado,RS,1
Videira,SC,1
Verê,PR,1
Venancio Aires,RS,1
Vassouras,RJ,1
Anchieta,SC,1
Anastácio,MS,1
Ananindeua,PA,1
Analândia,SP,1
Américo de Campos,SP,1
Amparo do Serra,MG,1
Amaturá,AM,1
Amargosa,BA,1
Alvinopólis,MG,1
Alvarez Machado,SP,1
Alvares Machado,SP,1
Varzelândia,MG,1
Vitoria da Conquista,BA,1
Vista Alegre do Alto,SP,1
Virginopolis,MG,1
Viradouro,SP,1
Alto Rio Doce,MG,1
Alto Araguaia,MT,1
Alto Alegre,SP,1
Alpestre,RS,1
Alegre ES,ES,1
Alcobaça,BA,1
Vilas Boas - Guiricema,MG,1
Vila-Velha,ES,1
Vila Nova,SP,1
Vila Boa de Goiás,GO,1
Viginópolis,MG,1
Vigia,PA,1
Abaete,MG,1
curitiba,PR,1
corumbá,MS,1
cajazeiras,PB,1
`São Paulo,SP,1
Xanxêre,SC,1
Xanxerê,SC,1
Xambrê,PR,1
XAXIM,SC,1
Wenceslau Guimarães,BA,1
Wenceslau Braz,PR,1
Várzea da Palma,MG,1
Várzea Alegre,CE,1
Volta Grande,MG,1
Viçosa MG,MG,1
Vitória,MG,1
sorocaba,SP,1
AJURICABA,RS,1
ALEGRETE,RS,1
ALEM PARAIBA,MG,1
Álvares Florence,SP,1
Águas de Santa Bárbara,SP,1
petrópolis,RJ,1
pereira barreto,SP,1
osasco,SP,1
olimpia,SP,1
nova friburgo,RJ,1
nova Andradina-MS,RO,1
niterói,RJ,1
natal,RN,1
mateus leme,MG,1
maringá,PR,1
Jerônimo Monteiro,ES,1
Jaú - SP,SP,1
Jataí-Goiás,GO,1
Jaru,RO,1
Jardim do Seridó,RN,1
Jardim Alegre,RR,1
Jardim Alegre,PR,1
Jardim,MS,1
Japurá,PR,1
Águas de Lindóia,SP,1
Águas Formosas,MG,1
vicosa,MG,1
uberaba,MG,1
são josé dos campos,SP,1
são Paulo,SP,1
são João de Meriti,RJ,1
